P;Diapason;Timestamp;Date;Start Time;Legth;L_verb;Buy Type;Sell Type;Start;End;Prc (Loss);Alg_Prc;Diapason;# max;Prc Max;# min;Prc Min;Prc30;Prc80;Prc130;Prc180;Prc360;Prc720;Der30;Der80;Der130;Der180;Der360;Der720;NonD30;NonD80;NonD130;NonD180;NonD360;NonD720;Plus30;Plus80;Plus130;Plus180;Plus360;Plus720;Weight
S;1085-8667;1683764496;11.05.23;03:21:36;7582;23:38:23;buy_ascent;final_sell;109,04;121,56;+11,49;+12,27;1085-8666;6851;13,13;1088;-0,33;0,61;1,05;1,47;1,51;1,78;0,53;0,12;0,08;0,07;0,05;0,03;0,00;82,76;86,11;91,89;89,19;89,74;53,33;47,06;60,78;66,67;64,71;68,63;47,06;47,50
S;2835-2862;1683870712;12.05.23;08:51:52;27;0:5:3;buy_ascent;sell_ch_deriv_N2;109,04;107,36;-1,54;-0,85;2835-3228;2835;0,00;3207;-5,23;2,48;2,63;2,78;3,04;1,80;1,02;0,50;0,20;0,13;0,10;0,03;0,01;93,33;91,49;93,62;95,74;80,00;76,47;82,35;84,31;86,27;88,24;78,43;76,47;40,16
L;3229-7171;1683875152;12.05.23;10:05:52;3942;12:20:39;buy_ascent;sell_rules;107,36;104,28;-2,86;-2,18;3229-7172;5526;4,74;7172;-3,04;1,08;2,39;2,79;3,55;2,84;-0,13;0,22;0,18;0,13;0,12;0,05;-0,00;96,77;95,12;95,45;95,56;84,00;49,02;58,82;76,47;82,35;84,31;82,35;49,02;55,65
S;7173-7198;1683919614;12.05.23;22:26:54;25;0:4:40;buy_ascent;sell_ch_deriv_N1;104,28;103,46;-0,79;-0,09;7173-7349;7184;2,72;7331;-5,32;2,36;2,43;2,61;2,82;3,26;2,38;0,47;0,18;0,12;0,09;0,05;0,02;97,62;97,67;95,56;95,65;100,00;93,88;80,39;82,35;84,31;86,27;96,08;90,20;36,46
L;7350-7358;1683921598;12.05.23;22:59:58;8;0:1:30;buy_ascent;sell_ch_deriv_N2;103,46;102,43;-1,00;-0,31;7350-7671;7480;1,19;7598;-0,17;3,80;4,28;5,81;6,37;2,43;2,17;0,76;0,32;0,27;0,21;0,04;0,02;100,00;100,00;98,04;100,00;80,39;74,51;92,16;96,08;98,04;100,00;80,39;74,51;43,21
L;62-8691;1683925899;13.05.23;00:11:39;8629;2:48:19;buy_ascent;final_sell;103,46;102,68;-0,75;-0,06;62-8690;973;2,85;5635;-2,73;0,97;1,87;2,36;2,25;3,19;6,40;0,19;0,14;0,11;0,07;0,05;0,05;95,24;92,00;92,00;90,00;96,00;98,04;78,43;90,20;90,20;88,24;94,12;98,04;39,57
L;5856-6878;1684076796;14.05.23;18:06:36;1022;3:11:9;buy_ascent;sell_rules;103,46;99,61;-3,72;-3,04;5856-6902;6195;1,61;6875;-2,94;0,81;1,37;1,62;1,76;1,83;3,78;0,16;0,10;0,07;0,06;0,03;0,03;83,33;80,43;82,98;82,98;87,23;95,92;68,63;72,55;76,47;76,47;80,39;92,16;60,34
S;6903-8713;1684088547;14.05.23;21:22:27;1810;5:37:30;buy_ascent;final_sell;99,61;98,85;-0,76;-0,07;6903-8712;7310;2,00;8264;-1,27;0,85;1,05;1,14;1,24;1,43;3,34;0,17;0,08;0,05;0,04;0,02;0,03;92,11;94,74;94,74;97,44;88,10;89,80;68,63;70,59;70,59;74,51;72,55;86,27;48,28
L;1434-1458;1684113975;15.05.23;04:26:15;24;0:4:25;buy_ascent;sell_ch_deriv_N2;99,61;98,72;-0,89;-0,20;1434-3068;3067;4,57;1453;-0,21;2,52;3,02;3,43;3,61;1,27;0,41;0,50;0,23;0,16;0,12;0,02;0,00;100,00;100,00;100,00;98,00;80,39;66,67;90,20;94,12;98,04;96,08;80,39;66,67;55,39
L;3069-8674;1684132093;15.05.23;09:28:13;5605;17:31:39;buy_ascent;final_sell;98,72;96,15;-2,61;-1,92;3069-8673;4212;2,01;8597;-4,03;0,96;1,39;1,26;1,34;1,35;1,65;0,19;0,10;0,06;0,04;0,02;0,01;97,30;93,33;80,00;89,13;80,85;79,59;70,59;82,35;70,59;80,39;74,51;76,47;36,45
