P;Diapason;Timestamp;Date;Start Time;Legth;L_verb;Buy Type;Sell Type;Start;End;Prc (Loss);Alg_Prc;Diapason;# max;Prc Max;# min;Prc Min;Prc30;Prc80;Prc130;Prc180;Prc360;Prc720;Der30;Der80;Der130;Der180;Der360;Der720;NonD30;NonD80;NonD130;NonD180;NonD360;NonD720;Plus30;Plus80;Plus130;Plus180;Plus360;Plus720;Weight
S;6520-6856;1683565448;08.05.23;20:04:08;336;1:1:38;buy_ascent;sell_ch_deriv_N2;100,16;109,81;+9,63;+10,41;6520-7799;6851;9,63;6579;-1,45;0,57;1,12;1,28;1,47;2,06;2,21;0,11;0,08;0,06;0,05;0,03;0,02;81,82;82,05;90,00;87,80;86,67;86,96;56,25;66,67;75,00;75,00;81,25;83,33;45,02
S;1714-3302;1683598688;09.05.23;05:18:08;1588;4:54:9;buy_ascent;sell_step_long;100,16;99,06;-1,09;-0,40;1714-5588;3113;2,06;5253;-4,49;0,81;1,36;1,47;1,72;1,44;0,78;0,16;0,10;0,07;0,06;0,02;0,01;93,75;94,59;89,19;91,89;86,49;59,52;62,50;72,92;68,75;70,83;66,67;52,08;62,85
S;5589-6270;1683641704;09.05.23;17:15:04;681;2:5:16;buy_ascent;sell_step_base;99,06;98,63;-0,44;+0,26;5589-6493;6193;3,18;5774;-2,78;0,70;1,27;1,46;1,50;2,30;2,20;0,14;0,10;0,07;0,05;0,04;0,02;86,21;91,43;94,87;92,31;94,87;84,44;52,08;66,67;77,08;75,00;77,08;79,17;36,33
L;6494-8132;1683651689;09.05.23;20:01:29;1638;5:4:35;buy_ascent;sell_step_long;98,63;95,78;-2,89;-2,20;6494-8132;6496;0,03;7690;-3,61;1,65;2,01;2,04;2,51;2,48;-0,03;0,33;0,15;0,09;0,08;0,04;-0,00;94,87;92,86;92,86;90,70;88,89;45,65;77,08;81,25;81,25;81,25;83,33;43,75;40,63
S;6487-6543;1683738744;10.05.23;20:12:24;56;0:10:30;buy_ascent;sell_ch_deriv_N2;98,63;108,35;+9,86;+10,63;6487-7084;6534;16,25;7084;-0,05;1,13;1,29;1,57;1,80;1,44;0,55;0,23;0,10;0,07;0,06;0,02;0,00;94,59;88,10;92,86;95,24;81,40;70,21;72,92;77,08;81,25;83,33;72,92;68,75;66,44
L;7085-7114;1683745472;10.05.23;22:04:32;29;0:5:26;buy_ascent;sell_ch_deriv_N2;108,35;107,25;-1,01;-0,32;7085-7508;7486;2,91;7143;-1,24;2,33;2,90;3,15;3,10;5,14;-3,45;0,47;0,22;0,15;0,10;0,09;-0,03;100,00;97,87;95,74;97,87;100,00;6,25;97,92;95,83;93,75;95,83;100,00;6,25;45,01
L;7509-7828;1683750243;10.05.23;23:24:03;319;0:59:52;buy_ascent;sell_step_base;107,25;106,18;-1,00;-0,31;7509-7828;7640;0,48;7828;-1,13;1,08;1,75;2,02;1,85;2,93;8,07;0,22;0,13;0,09;0,06;0,05;0,07;87,50;95,35;95,45;95,45;95,65;100,00;72,92;85,42;87,50;87,50;91,67;100,00;36,77
S;1085-4980;1683764496;11.05.23;03:21:36;3895;12:8:47;buy_ascent;sell_step_long;107,25;111,09;+3,58;+4,31;1085-5727;5726;11,47;1088;-0,33;0,61;1,05;1,47;1,51;1,78;0,53;0,12;0,08;0,07;0,05;0,03;0,00;82,76;86,11;91,89;89,19;89,74;53,33;47,06;60,78;66,67;64,71;68,63;47,06;47,50
S;5728-6982;1683816697;11.05.23;17:51:37;1254;3:54:38;buy_ascent;sell_step_base;111,09;114,48;+3,05;+3,78;5728-7705;6851;2,54;6211;-5,79;1,12;1,75;2,44;2,28;3,60;5,89;0,22;0,13;0,11;0,08;0,06;0,05;86,84;90,70;95,35;93,02;95,83;98,04;64,71;76,47;80,39;78,43;90,20;98,04;43,24
S;2835-2862;1683870712;12.05.23;08:51:52;27;0:5:3;buy_ascent;sell_ch_deriv_N2;111,09;109,38;-1,54;-0,85;2835-3228;2835;0,00;3207;-5,23;2,48;2,63;2,78;3,04;1,80;1,02;0,50;0,20;0,13;0,10;0,03;0,01;93,33;91,49;93,62;95,74;80,00;76,47;82,35;84,31;86,27;88,24;78,43;76,47;40,16
L;3229-4788;1683875152;12.05.23;10:05:52;1559;4:53:3;buy_ascent;sell_step_long;109,38;111,53;+1,97;+2,68;3229-7172;5526;4,74;7172;-3,04;1,08;2,39;2,79;3,55;2,84;-0,13;0,22;0,18;0,13;0,12;0,05;-0,00;96,77;95,12;95,45;95,56;84,00;49,02;58,82;76,47;82,35;84,31;82,35;49,02;55,65
